reg_number,name,department,gender,student_type,phone,email,sslc_percentage,hsc_percentage,ug_percentage,pg_percentage,github_link,linkedin_link,resume_url,self_intro_link,photo_url,portfolio_link,year_of_graduation,placement_status,placed_company,ctc_lpa
RTC2024BIT061,Ajith M,Information Technology,Male,Day Scholar,9876548254,ajithm.bit24@rathinam.in,87.5,77.6,91.1,,https://github.com/ajith-bit,https://www.linkedin.com/in/ajith-m,https://drive.google.com/file/d/1Resume_RTC2024BIT061_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1519085360753-af0119f7cbe7?auto=format&fit=crop&w=400&q=80,https://ajith.portfolio.dev,2025,PLACED,Zoho Corporation,8.5
RCAS2024BEC062,Manikandan R,Electronics and Communication,Male,Day Scholar,9876554548,manikandanr.bec24@rathinam.in,93.3,78.0,73.6,,https://github.com/manikandan-bec,https://www.linkedin.com/in/manikandan-r,https://drive.google.com/file/d/1Resume_RCAS2024BEC062_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1506794778202-cad84cf45f1d?auto=format&fit=crop&w=400&q=80,https://manikandan.portfolio.dev,2025,YTPP,,
RTC2024BCY063,Bhavani D,Cyber Security,Female,Day Scholar,9876555236,bhavanid.bcy24@rathinam.in,91.5,94.0,82.3,,https://github.com/bhavani-bcy,https://www.linkedin.com/in/bhavani-d,https://drive.google.com/file/d/1Resume_RTC2024BCY063_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1573496359142-b8d87734a5a2?auto=format&fit=crop&w=400&q=80,https://bhavani.portfolio.dev,2025,PLACED,Zoho Corporation,8.5
RCAS2024BBA064,Karpagam K,Business Administration,Female,Day Scholar,9876560604,karpagamk.bba24@rathinam.in,86.4,82.0,82.9,,https://github.com/karpagam-bba,https://www.linkedin.com/in/karpagam-k,https://drive.google.com/file/d/1Resume_RCAS2024BBA064_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1494790108377-be9c29b29330?auto=format&fit=crop&w=400&q=80,https://karpagam.portfolio.dev,2025,YTPP,,
RCAS2024BCS065,Keerthana T,Computer Science,Female,Day Scholar,9876578937,keerthanat.bcs24@rathinam.in,84.8,77.2,91.4,,https://github.com/keerthana-bcs,https://www.linkedin.com/in/keerthana-t,https://drive.google.com/file/d/1Resume_RCAS2024BCS065_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1534528741775-53994a69daeb?auto=format&fit=crop&w=400&q=80,https://keerthana.portfolio.dev,2025,YTPP,,
RCAS2024BCS066,Jeevan R,Computer Science,Male,Day Scholar,9876598389,jeevanr.bcs24@rathinam.in,84.9,90.2,86.9,,https://github.com/jeevan-bcs,https://www.linkedin.com/in/jeevan-r,https://drive.google.com/file/d/1Resume_RCAS2024BCS066_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1500648767791-00dcc994a43e?auto=format&fit=crop&w=400&q=80,https://jeevan.portfolio.dev,2025,YTPP,,
RTC2024BEC067,Pradeep J,Electronics and Communication,Male,Hostel,9876521846,pradeepj.bec24@rathinam.in,79.4,88.9,93.2,,https://github.com/pradeep-bec,https://www.linkedin.com/in/pradeep-j,https://drive.google.com/file/d/1Resume_RTC2024BEC067_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1492562080023-ab3db95bfbce?auto=format&fit=crop&w=400&q=80,https://pradeep.portfolio.dev,2025,PLACED,Zoho Corporation,8.5
RCAS2024BCS068,Mukesh P,Computer Science,Male,Day Scholar,9876564008,mukeshp.bcs24@rathinam.in,84.0,83.2,75.3,,https://github.com/mukesh-bcs,https://www.linkedin.com/in/mukesh-p,https://drive.google.com/file/d/1Resume_RCAS2024BCS068_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1519085360753-af0119f7cbe7?auto=format&fit=crop&w=400&q=80,https://mukesh.portfolio.dev,2025,PLACED,Zoho Corporation,8.5
RCAS2024BBA069,Nandhini T,Business Administration,Female,Day Scholar,9876547700,nandhinit.bba24@rathinam.in,83.2,80.6,72.2,,https://github.com/nandhini-bba,https://www.linkedin.com/in/nandhini-t,https://drive.google.com/file/d/1Resume_RCAS2024BBA069_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1488426862026-3ee34a7d66df?auto=format&fit=crop&w=400&q=80,https://nandhini.portfolio.dev,2025,PLACED,Zoho Corporation,8.5
RCAS2024BCY070,Raghav D,Cyber Security,Male,Hostel,9876584963,raghavd.bcy24@rathinam.in,98.5,93.8,74.5,,https://github.com/raghav-bcy,https://www.linkedin.com/in/raghav-d,https://drive.google.com/file/d/1Resume_RCAS2024BCY070_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1522075469751-3a6694fb2f61?auto=format&fit=crop&w=400&q=80,https://raghav.portfolio.dev,2025,PLACED,Zoho Corporation,8.5
RCAS2024BCY071,Vithya A,Cyber Security,Female,Day Scholar,9876547512,vithyaa.bcy24@rathinam.in,94.0,96.4,92.9,,https://github.com/vithya-bcy,https://www.linkedin.com/in/vithya-a,https://drive.google.com/file/d/1Resume_RCAS2024BCY071_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1494790108377-be9c29b29330?auto=format&fit=crop&w=400&q=80,https://vithya.portfolio.dev,2025,YTPP,,
RTC2024BIT072,Janani B,Information Technology,Female,Day Scholar,9876522735,jananib.bit24@rathinam.in,92.8,89.5,91.3,,https://github.com/janani-bit,https://www.linkedin.com/in/janani-b,https://drive.google.com/file/d/1Resume_RTC2024BIT072_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1534528741775-53994a69daeb?auto=format&fit=crop&w=400&q=80,https://janani.portfolio.dev,2025,YTPP,,
RCAS2024BBA073,Suresh S,Business Administration,Male,Hostel,9876527322,sureshs.bba24@rathinam.in,96.6,82.2,81.6,,https://github.com/suresh-bba,https://www.linkedin.com/in/suresh-s,https://drive.google.com/file/d/1Resume_RCAS2024BBA073_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1500648767791-00dcc994a43e?auto=format&fit=crop&w=400&q=80,https://suresh.portfolio.dev,2025,YTPP,,
RTC2024BCY074,Dhanush J,Cyber Security,Male,Hostel,9876525095,dhanushj.bcy24@rathinam.in,94.9,85.6,90.5,,https://github.com/dhanush-bcy,https://www.linkedin.com/in/dhanush-j,https://drive.google.com/file/d/1Resume_RTC2024BCY074_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1492562080023-ab3db95bfbce?auto=format&fit=crop&w=400&q=80,https://dhanush.portfolio.dev,2025,PLACED,Zoho Corporation,8.5
RTC2024BCS075,Nithya V,Computer Science,Female,Hostel,9876544362,nithyav.bcs24@rathinam.in,89.0,85.0,87.5,,https://github.com/nithya-bcs,https://www.linkedin.com/in/nithya-v,https://drive.google.com/file/d/1Resume_RTC2024BCS075_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1544005313-94ddf0286df2?auto=format&fit=crop&w=400&q=80,https://nithya.portfolio.dev,2025,PLACED,Zoho Corporation,8.5
RCAS2024BBA076,Manikandan V,Business Administration,Male,Hostel,9876525292,manikandanv.bba24@rathinam.in,94.9,95.0,79.0,,https://github.com/manikandan-bba,https://www.linkedin.com/in/manikandan-v,https://drive.google.com/file/d/1Resume_RCAS2024BBA076_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1506794778202-cad84cf45f1d?auto=format&fit=crop&w=400&q=80,https://manikandan.portfolio.dev,2025,PLACED,Zoho Corporation,8.5
RCAS2024BEC077,Santhosh R,Electronics and Communication,Male,Day Scholar,9876564379,santhoshr.bec24@rathinam.in,93.2,95.8,81.6,,https://github.com/santhosh-bec,https://www.linkedin.com/in/santhosh-r,https://drive.google.com/file/d/1Resume_RCAS2024BEC077_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1522075469751-3a6694fb2f61?auto=format&fit=crop&w=400&q=80,https://santhosh.portfolio.dev,2025,PLACED,Zoho Corporation,8.5
RTC2024BEC078,Pavithra T,Electronics and Communication,Female,Day Scholar,9876557012,pavithrat.bec24@rathinam.in,80.0,90.1,84.5,,https://github.com/pavithra-bec,https://www.linkedin.com/in/pavithra-t,https://drive.google.com/file/d/1Resume_RTC2024BEC078_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1494790108377-be9c29b29330?auto=format&fit=crop&w=400&q=80,https://pavithra.portfolio.dev,2025,PLACED,Zoho Corporation,8.5
RTC2024BBA079,Vignesh B,Business Administration,Male,Hostel,9876518992,vigneshb.bba24@rathinam.in,84.8,96.8,90.1,,https://github.com/vignesh-bba,https://www.linkedin.com/in/vignesh-b,https://drive.google.com/file/d/1Resume_RTC2024BBA079_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?auto=format&fit=crop&w=400&q=80,https://vignesh.portfolio.dev,2025,YTPP,,
RTC2024BIT080,Janani V,Information Technology,Female,Day Scholar,9876542853,jananiv.bit24@rathinam.in,83.7,96.6,94.7,,https://github.com/janani-bit,https://www.linkedin.com/in/janani-v,https://drive.google.com/file/d/1Resume_RTC2024BIT080_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1517841905240-472988babdf9?auto=format&fit=crop&w=400&q=80,https://janani.portfolio.dev,2025,YTPP,,
RTC2024BCY081,Swetha S,Cyber Security,Female,Hostel,9876578955,swethas.bcy24@rathinam.in,84.6,78.8,73.2,,https://github.com/swetha-bcy,https://www.linkedin.com/in/swetha-s,https://drive.google.com/file/d/1Resume_RTC2024BCY081_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1524504388940-b1c1722653e1?auto=format&fit=crop&w=400&q=80,https://swetha.portfolio.dev,2025,PLACED,Zoho Corporation,8.5
RTC2024BIT082,Dharshini G,Information Technology,Female,Hostel,9876594323,dharshinig.bit24@rathinam.in,94.1,94.1,84.0,,https://github.com/dharshini-bit,https://www.linkedin.com/in/dharshini-g,https://drive.google.com/file/d/1Resume_RTC2024BIT082_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1544005313-94ddf0286df2?auto=format&fit=crop&w=400&q=80,https://dharshini.portfolio.dev,2025,YTPP,,
RCAS2024BCS083,Vijay A,Computer Science,Male,Day Scholar,9876526540,vijaya.bcs24@rathinam.in,79.5,76.8,86.0,,https://github.com/vijay-bcs,https://www.linkedin.com/in/vijay-a,https://drive.google.com/file/d/1Resume_RCAS2024BCS083_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1506794778202-cad84cf45f1d?auto=format&fit=crop&w=400&q=80,https://vijay.portfolio.dev,2025,PLACED,Zoho Corporation,8.5
RCAS2024BEC084,Dhanush N,Electronics and Communication,Male,Day Scholar,9876566370,dhanushn.bec24@rathinam.in,95.5,89.3,89.7,,https://github.com/dhanush-bec,https://www.linkedin.com/in/dhanush-n,https://drive.google.com/file/d/1Resume_RCAS2024BEC084_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1522075469751-3a6694fb2f61?auto=format&fit=crop&w=400&q=80,https://dhanush.portfolio.dev,2025,PLACED,Zoho Corporation,8.5
RCAS2024BEC085,Naveen V,Electronics and Communication,Male,Hostel,9876521188,naveenv.bec24@rathinam.in,97.5,90.1,82.9,,https://github.com/naveen-bec,https://www.linkedin.com/in/naveen-v,https://drive.google.com/file/d/1Resume_RCAS2024BEC085_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1539571696357-5a69c17a67c6?auto=format&fit=crop&w=400&q=80,https://naveen.portfolio.dev,2025,PLACED,Zoho Corporation,8.5
RCAS2024BBA086,Yogalakshmi G,Business Administration,Female,Hostel,9876547700,yogalakshmig.bba24@rathinam.in,85.2,89.6,89.3,,https://github.com/yogalakshmi-bba,https://www.linkedin.com/in/yogalakshmi-g,https://drive.google.com/file/d/1Resume_RCAS2024BBA086_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1534528741775-53994a69daeb?auto=format&fit=crop&w=400&q=80,https://yogalakshmi.portfolio.dev,2025,PLACED,Zoho Corporation,8.5
RCAS2024BCS087,Ashwin K,Computer Science,Male,Day Scholar,9876583526,ashwink.bcs24@rathinam.in,80.4,81.1,77.2,,https://github.com/ashwin-bcs,https://www.linkedin.com/in/ashwin-k,https://drive.google.com/file/d/1Resume_RCAS2024BCS087_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1500648767791-00dcc994a43e?auto=format&fit=crop&w=400&q=80,https://ashwin.portfolio.dev,2025,YTPP,,
RTC2024BCS088,Subathra G,Computer Science,Female,Day Scholar,9876554541,subathrag.bcs24@rathinam.in,92.2,75.6,78.3,,https://github.com/subathra-bcs,https://www.linkedin.com/in/subathra-g,https://drive.google.com/file/d/1Resume_RTC2024BCS088_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1524504388940-b1c1722653e1?auto=format&fit=crop&w=400&q=80,https://subathra.portfolio.dev,2025,PLACED,Zoho Corporation,8.5
RCAS2024BCS089,Kabilan B,Computer Science,Male,Day Scholar,9876552517,kabilanb.bcs24@rathinam.in,85.7,85.0,75.6,,https://github.com/kabilan-bcs,https://www.linkedin.com/in/kabilan-b,https://drive.google.com/file/d/1Resume_RCAS2024BCS089_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1519085360753-af0119f7cbe7?auto=format&fit=crop&w=400&q=80,https://kabilan.portfolio.dev,2025,YTPP,,
RTC2024BIT090,Akash R,Information Technology,Male,Hostel,9876567939,akashr.bit24@rathinam.in,79.7,84.7,81.8,,https://github.com/akash-bit,https://www.linkedin.com/in/akash-r,https://drive.google.com/file/d/1Resume_RTC2024BIT090_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1506794778202-cad84cf45f1d?auto=format&fit=crop&w=400&q=80,https://akash.portfolio.dev,2025,PLACED,Zoho Corporation,8.5
RCAS2024BBA091,Rahul B,Business Administration,Male,Day Scholar,9876536794,rahulb.bba24@rathinam.in,78.9,83.7,85.8,,https://github.com/rahul-bba,https://www.linkedin.com/in/rahul-b,https://drive.google.com/file/d/1Resume_RCAS2024BBA091_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1522075469751-3a6694fb2f61?auto=format&fit=crop&w=400&q=80,https://rahul.portfolio.dev,2025,PLACED,Zoho Corporation,8.5
RCAS2024BEC092,INBAVARUNAN T,Electronics and Communication,Male,Hostel,9876519447,inbavarunant.bec24@rathinam.in,92.4,86.0,91.2,,https://github.com/inbavarunan-bec,https://www.linkedin.com/in/inbavarunan-t,https://drive.google.com/file/d/1Resume_RCAS2024BEC092_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1539571696357-5a69c17a67c6?auto=format&fit=crop&w=400&q=80,https://inbavarunan.portfolio.dev,2025,PLACED,Zoho Corporation,8.5
RCAS2024BBA093,Madhumitha A,Business Administration,Female,Day Scholar,9876591018,madhumithaa.bba24@rathinam.in,83.9,83.9,94.2,,https://github.com/madhumitha-bba,https://www.linkedin.com/in/madhumitha-a,https://drive.google.com/file/d/1Resume_RCAS2024BBA093_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1534528741775-53994a69daeb?auto=format&fit=crop&w=400&q=80,https://madhumitha.portfolio.dev,2025,PLACED,Zoho Corporation,8.5
RCAS2024BBA094,Nandhini A,Business Administration,Female,Hostel,9876520011,nandhinia.bba24@rathinam.in,95.8,91.4,77.1,,https://github.com/nandhini-bba,https://www.linkedin.com/in/nandhini-a,https://drive.google.com/file/d/1Resume_RCAS2024BBA094_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1517841905240-472988babdf9?auto=format&fit=crop&w=400&q=80,https://nandhini.portfolio.dev,2025,PLACED,Zoho Corporation,8.5
RCAS2024BIT095,Jeevan C,Information Technology,Male,Hostel,9876519876,jeevanc.bit24@rathinam.in,82.0,88.3,89.5,,https://github.com/jeevan-bit,https://www.linkedin.com/in/jeevan-c,https://drive.google.com/file/d/1Resume_RCAS2024BIT095_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1492562080023-ab3db95bfbce?auto=format&fit=crop&w=400&q=80,https://jeevan.portfolio.dev,2025,PLACED,Zoho Corporation,8.5
RCAS2024BBA096,Balaji B,Business Administration,Male,Day Scholar,9876549691,balajib.bba24@rathinam.in,84.5,84.7,82.8,,https://github.com/balaji-bba,https://www.linkedin.com/in/balaji-b,https://drive.google.com/file/d/1Resume_RCAS2024BBA096_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1519085360753-af0119f7cbe7?auto=format&fit=crop&w=400&q=80,https://balaji.portfolio.dev,2025,YTPP,,
RCAS2024BEC097,Gautham P,Electronics and Communication,Male,Hostel,9876590610,gauthamp.bec24@rathinam.in,95.0,76.7,91.9,,https://github.com/gautham-bec,https://www.linkedin.com/in/gautham-p,https://drive.google.com/file/d/1Resume_RCAS2024BEC097_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1506794778202-cad84cf45f1d?auto=format&fit=crop&w=400&q=80,https://gautham.portfolio.dev,2025,PLACED,Zoho Corporation,8.5
RCAS2024BIT098,Balaji B,Information Technology,Male,Day Scholar,9876521053,balajib.bit24@rathinam.in,81.1,76.4,74.4,,https://github.com/balaji-bit,https://www.linkedin.com/in/balaji-b,https://drive.google.com/file/d/1Resume_RCAS2024BIT098_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1522075469751-3a6694fb2f61?auto=format&fit=crop&w=400&q=80,https://balaji.portfolio.dev,2025,PLACED,Zoho Corporation,8.5
RCAS2024BBA099,Soundarya G,Business Administration,Female,Hostel,9876516863,soundaryag.bba24@rathinam.in,83.8,84.0,79.8,,https://github.com/soundarya-bba,https://www.linkedin.com/in/soundarya-g,https://drive.google.com/file/d/1Resume_RCAS2024BBA099_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1494790108377-be9c29b29330?auto=format&fit=crop&w=400&q=80,https://soundarya.portfolio.dev,2025,YTPP,,
RCAS2024BEC100,Naveen G,Electronics and Communication,Male,Day Scholar,9876520682,naveeng.bec24@rathinam.in,91.5,94.9,92.1,,https://github.com/naveen-bec,https://www.linkedin.com/in/naveen-g,https://drive.google.com/file/d/1Resume_RCAS2024BEC100_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?auto=format&fit=crop&w=400&q=80,https://naveen.portfolio.dev,2025,PLACED,Zoho Corporation,8.5
RCAS2024BCS153,KARTHIKEYAN T,BSC CS WITH AI INTEL,MALE,Hostel,7539964311,karthikeyant.bcs24@rathinam..in,55.0,70.0,7.8,,https://github.com/karthikeyantoff,https://www.linkedin.com/in/karthikeyantoff/,https://drive.google.com/file/d/1D_KRsK7maz3s6YDLI9g-n-EgwTzUhECt/view?usp=sharing,,https://res.cloudinary.com/cblqllb4/image/upload/v1788093196/placement_site/karthikeyan_custom.jpg,https://karthikeyandev.vercel.app/,2025,YTPP,,
RCAS2024BCS135,NANDHAKISHORE A,BSC CS WITH AI INTEL,Male,Day Scholar,7305678219,nandhakishore.bcs24@rathinam.com,79.0,77.0,8.0,,https://github.com/Nandhakishore-A,https://www.linkedin.com/in/nandhakishoreofficial/,https://drive.google.com/file/d/1F0VseZBCtAX4Ap1LKD2Vt9NldswlYMAS/view?usp=sharing,,https://res.cloudinary.com/cblqllb4/image/upload/v1788093375/placement_site/nandhakishore_custom.jpg,https://nandhakishoredev.vercel.app/,2025,PLACED,Zoho Corporation,8.5
